"ID","gene"
"cds-WP_042115131.1","NA"
"gene-Y880_RS00720","NA"
"cds-WP_016253804.1","NA"
"gene-Y880_RS00725","NA"
"cds-WP_031759004.1","NA"
"gene-Y880_RS00730","NA"
"cds-WP_079276223.1","NA"
"gene-Y880_RS00735","NA"
"cds-WP_016253802.1","NA"
"gene-Y880_RS00740","NA"
"cds-WP_016253801.1","NA"
"gene-Y880_RS00745","NA"
"cds-WP_016253800.1","NA"
"gene-Y880_RS00750","NA"
"cds-WP_071557626.1","NA"
"gene-Y880_RS00755","NA"
"cds-WP_031759001.1","NA"
"gene-Y880_RS00760","NA"
"cds-WP_016253797.1","NA"
"gene-Y880_RS00765","NA"
"cds-WP_016253796.1","NA"
"gene-Y880_RS00770","NA"
"cds-WP_016253795.1","NA"
"gene-Y880_RS00775","NA"
"cds-WP_016253794.1","NA"
"gene-Y880_RS00780","NA"
"cds-WP_016253793.1","NA"
"gene-Y880_RS00785","NA"
"cds-Y880_RS00785","NA"
"gene-Y880_RS00790","NA"
"cds-WP_016253792.1","NA"
"gene-Y880_RS00795","NA"
"cds-WP_016253791.1","NA"
"gene-Y880_RS00800","NA"
"cds-WP_031758999.1","NA"
"gene-Y880_RS00805","NA"
"cds-WP_079276208.1","NA"
"gene-Y880_RS00810","NA"
"cds-WP_016253788.1","NA"
"gene-Y880_RS00815","NA"
"cds-WP_003158590.1","NA"
"gene-Y880_RS00820","NA"
"cds-WP_003158589.1","NA"
"gene-Y880_RS00825","NA"
"cds-WP_031758998.1","NA"
"gene-Y880_RS00830","NA"
"cds-WP_031758997.1","NA"
"gene-Y880_RS00835","NA"
"cds-WP_031758995.1","NA"
"gene-Y880_RS00840","NA"
"cds-WP_016253784.1","NA"
"gene-Y880_RS00845","NA"
"cds-WP_016253783.1","NA"
"gene-Y880_RS00850","NA"
"cds-WP_016253782.1","NA"
"gene-Y880_RS00855","NA"
"cds-WP_016253781.1","NA"
"gene-Y880_RS00860","NA"
"cds-WP_016253780.1","NA"
"gene-Y880_RS00865","NA"
"cds-WP_016253779.1","NA"
"gene-Y880_RS00870","NA"
"cds-Y880_RS00870","NA"
"gene-Y880_RS00875","ssrA"
"rna-Y880_RS00875","ssrA"
"exon-Y880_RS00875-1","ssrA"
"gene-Y880_RS00880","NA"
"cds-WP_016253777.1","NA"
"gene-Y880_RS00885","NA"
"cds-WP_003120766.1","NA"
"gene-Y880_RS00890","NA"
"cds-WP_003085798.1","NA"
"gene-Y880_RS00895","NA"
"cds-WP_003109433.1","NA"
"gene-Y880_RS00900","NA"
"cds-WP_003114220.1","NA"
"gene-Y880_RS00905","NA"
"cds-WP_016253776.1","NA"
"gene-Y880_RS00910","NA"
"cds-WP_003085808.1","NA"
"gene-Y880_RS00915","NA"
"cds-WP_003085811.1","NA"
"gene-Y880_RS00920","NA"
"cds-WP_003114221.1","NA"
"gene-Y880_RS00925","NA"
"cds-WP_003085814.1","NA"
"gene-Y880_RS00930","NA"
"cds-WP_003109430.1","NA"
"gene-Y880_RS00935","NA"
"cds-WP_003085816.1","NA"
"gene-Y880_RS00940","NA"
"cds-WP_003109429.1","NA"
"gene-Y880_RS00945","NA"
"cds-WP_003116488.1","NA"
"gene-Y880_RS00950","NA"
"cds-WP_003085824.1","NA"
"gene-Y880_RS00955","NA"
"cds-WP_003114223.1","NA"
"gene-Y880_RS00960","NA"
"cds-WP_016253775.1","NA"
"gene-Y880_RS00965","plcR"
"cds-WP_003122996.1","plcR"
"gene-Y880_RS00970","NA"
"cds-WP_003114225.1","NA"
"gene-Y880_RS00975","NA"
"cds-WP_016253774.1","NA"
"gene-Y880_RS00980","NA"
"cds-WP_003116482.1","NA"
"gene-Y880_RS00985","NA"
"cds-WP_079276207.1","NA"
"gene-Y880_RS00990","NA"
"cds-WP_003085842.1","NA"
"gene-Y880_RS00995","trxB"
"cds-WP_003134313.1","trxB"
"gene-Y880_RS01000","NA"
"cds-WP_003085846.1","NA"
"gene-Y880_RS01005","NA"
"cds-WP_003114230.1","NA"
"gene-Y880_RS01010","NA"
"cds-WP_003114231.1","NA"
"gene-Y880_RS01015","NA"
"cds-WP_016253772.1","NA"
"gene-Y880_RS01020","NA"
"cds-WP_003140846.1","NA"
"gene-Y880_RS01025","NA"
"cds-WP_003114233.1","NA"
"gene-Y880_RS01030","NA"
"cds-WP_003120754.1","NA"
"gene-Y880_RS01035","NA"
"cds-WP_003114234.1","NA"
"gene-Y880_RS01040","NA"
"cds-WP_003085861.1","NA"
"gene-Y880_RS01045","NA"
"cds-WP_010895526.1","NA"
"gene-Y880_RS01050","NA"
"cds-WP_003085865.1","NA"
"gene-Y880_RS01055","NA"
"cds-WP_003106578.1","NA"
"gene-Y880_RS01060","NA"
"cds-WP_003106577.1","NA"
"gene-Y880_RS01065","NA"
"cds-WP_003106575.1","NA"
"gene-Y880_RS01070","NA"
"cds-WP_003106572.1","NA"
"gene-Y880_RS01075","NA"
"cds-WP_003114237.1","NA"
"gene-Y880_RS01080","NA"
"cds-WP_071533963.1","NA"
"gene-Y880_RS01085","hppD"
"cds-WP_003106569.1","hppD"
"gene-Y880_RS01090","NA"
"cds-WP_003085884.1","NA"
"gene-Y880_RS01095","NA"
"cds-WP_003085889.1","NA"
"gene-Y880_RS01100","NA"
"cds-WP_003105972.1","NA"
"gene-Y880_RS01105","NA"
"cds-WP_003114239.1","NA"
"gene-Y880_RS01110","NA"
"cds-WP_016253771.1","NA"
"gene-Y880_RS01115","NA"
"cds-WP_016253770.1","NA"
"gene-Y880_RS01120","NA"
"cds-WP_003105977.1","NA"
"gene-Y880_RS01125","NA"
"cds-WP_003105980.1","NA"
"gene-Y880_RS01130","NA"
"cds-WP_071534347.1","NA"
"gene-Y880_RS01135","NA"
"cds-WP_003085904.1","NA"
"gene-Y880_RS01140","NA"
"cds-Y880_RS01140","NA"
"gene-Y880_RS01145","NA"
"cds-WP_003105982.1","NA"
"gene-Y880_RS01150","NA"
"cds-WP_003085907.1","NA"
"gene-Y880_RS01155","NA"
"cds-WP_003085908.1","NA"
"gene-Y880_RS01160","NA"
"cds-WP_016253769.1","NA"
"gene-Y880_RS01165","NA"
"cds-WP_003085913.1","NA"
"gene-Y880_RS01170","NA"
"cds-WP_003085915.1","NA"
"gene-Y880_RS01175","NA"
"cds-WP_003120744.1","NA"
"gene-Y880_RS01180","NA"
"cds-WP_003085918.1","NA"
"gene-Y880_RS01185","NA"
"cds-WP_003123245.1","NA"
"gene-Y880_RS01190","NA"
"cds-WP_003114244.1","NA"
"gene-Y880_RS01195","NA"
"cds-WP_003114245.1","NA"
"gene-Y880_RS01200","NA"
"cds-WP_003117122.1","NA"
"gene-Y880_RS01205","acs"
"cds-WP_003110260.1","acs"
"gene-Y880_RS01210","NA"
"cds-WP_003085932.1","NA"
"gene-Y880_RS01215","NA"
"cds-Y880_RS01215","NA"
"gene-Y880_RS01220","NA"
"cds-WP_003085936.1","NA"
"gene-Y880_RS01225","NA"
"cds-WP_003145612.1","NA"
"gene-Y880_RS01230","NA"
"cds-WP_003085940.1","NA"
"gene-Y880_RS01235","NA"
"cds-WP_003085944.1","NA"
"gene-Y880_RS01240","NA"
"cds-WP_023443525.1","NA"
"gene-Y880_RS01245","NA"
"cds-WP_003112608.1","NA"
"gene-Y880_RS01250","aruF"
"cds-WP_003085950.1","aruF"
"gene-Y880_RS01255","astA"
"cds-WP_003112607.1","astA"
"gene-Y880_RS01260","astD"
"cds-WP_095866971.1","astD"
"gene-Y880_RS01265","astB"
"cds-WP_003085956.1","astB"
"gene-Y880_RS01270","NA"
"cds-WP_003085959.1","NA"
"gene-Y880_RS01275","astE"
"cds-WP_003112605.1","astE"
"gene-Y880_RS01280","NA"
"cds-WP_003111717.1","NA"
"gene-Y880_RS01285","NA"
"cds-WP_015503413.1","NA"
"gene-Y880_RS01290","NA"
"cds-WP_003085971.1","NA"
"gene-Y880_RS01295","csrA"
"cds-WP_003085981.1","csrA"
"gene-Y880_RS01300","NA"
"rna-Y880_RS01300","NA"
"exon-Y880_RS01300-1","NA"
"gene-Y880_RS01305","NA"
"rna-Y880_RS01305","NA"
"exon-Y880_RS01305-1","NA"
"gene-Y880_RS01310","NA"
"rna-Y880_RS01310","NA"
"exon-Y880_RS01310-1","NA"
"gene-Y880_RS01315","NA"
"cds-WP_003085982.1","NA"
"gene-Y880_RS01320","NA"
"cds-WP_016253768.1","NA"
"gene-Y880_RS01325","NA"
"cds-WP_003085986.1","NA"
"gene-Y880_RS01330","NA"
"cds-WP_003085989.1","NA"
"gene-Y880_RS01335","NA"
"cds-WP_016253767.1","NA"
"gene-Y880_RS01340","NA"
"cds-WP_016253766.1","NA"
"gene-Y880_RS01345","NA"
"cds-Y880_RS01345","NA"
"gene-Y880_RS01350","mgtE"
"cds-WP_003085996.1","mgtE"
"gene-Y880_RS01355","NA"
"cds-WP_003085997.1","NA"
"gene-Y880_RS01360","NA"
"cds-WP_003085999.1","NA"
"gene-Y880_RS01365","NA"
"cds-WP_003086001.1","NA"
"gene-Y880_RS01370","NA"
"cds-WP_003086003.1","NA"
"gene-Y880_RS01375","NA"
"cds-WP_003086004.1","NA"
"gene-Y880_RS01380","NA"
"cds-WP_016253765.1","NA"
"gene-Y880_RS01385","NA"
"cds-WP_003109926.1","NA"
"gene-Y880_RS01390","NA"
"cds-Y880_RS01390","NA"
"gene-Y880_RS01395","NA"
"cds-WP_016253763.1","NA"
"gene-Y880_RS01400","NA"
"cds-WP_003086015.1","NA"
"gene-Y880_RS01405","NA"
"rna-Y880_RS01405","NA"
"exon-Y880_RS01405-1","NA"
"gene-Y880_RS01410","NA"
"cds-WP_003086018.1","NA"
"gene-Y880_RS01415","NA"
"cds-WP_016253762.1","NA"
"gene-Y880_RS01420","NA"
"cds-WP_003104742.1","NA"
"gene-Y880_RS01425","NA"
"cds-WP_003112592.1","NA"
"gene-Y880_RS01430","NA"
"cds-WP_003086027.1","NA"
"gene-Y880_RS01435","NA"
"cds-WP_016253761.1","NA"
"gene-Y880_RS01440","NA"
"cds-WP_003109933.1","NA"
"gene-Y880_RS01445","NA"
"cds-WP_079276222.1","NA"
"gene-Y880_RS01450","NA"
"cds-Y880_RS01450","NA"
"gene-Y880_RS01455","NA"
"cds-WP_003102419.1","NA"
"gene-Y880_RS01460","NA"
"cds-WP_016253759.1","NA"
"gene-Y880_RS01465","NA"
"cds-WP_003086042.1","NA"
"gene-Y880_RS01470","NA"
"cds-WP_003086045.1","NA"
"gene-Y880_RS01475","NA"
"cds-WP_015503406.1","NA"
"gene-Y880_RS01480","NA"
"cds-WP_003086049.1","NA"
"gene-Y880_RS01485","NA"
"cds-WP_016253758.1","NA"
"gene-Y880_RS01490","NA"
"cds-WP_003454532.1","NA"
"gene-Y880_RS01495","NA"
"cds-WP_003112586.1","NA"
"gene-Y880_RS01500","NA"
"cds-WP_003086057.1","NA"
"gene-Y880_RS01505","NA"
"cds-WP_003163151.1","NA"
"gene-Y880_RS01510","NA"
"cds-WP_003112585.1","NA"
"gene-Y880_RS01515","NA"
"cds-WP_003086061.1","NA"
"gene-Y880_RS01520","NA"
"cds-WP_003112584.1","NA"
"gene-Y880_RS01525","NA"
"cds-WP_003109942.1","NA"
"gene-Y880_RS01530","NA"
"cds-WP_003086067.1","NA"
"gene-Y880_RS01535","NA"
"cds-WP_016253757.1","NA"
"gene-Y880_RS01540","NA"
"cds-WP_003102398.1","NA"
"gene-Y880_RS01545","NA"
"cds-WP_003102396.1","NA"
"gene-Y880_RS01550","NA"
"cds-WP_003102394.1","NA"
"gene-Y880_RS01555","arsC"
"cds-WP_003112580.1","arsC"
"gene-Y880_RS01560","NA"
"cds-WP_003117099.1","NA"
"gene-Y880_RS01565","NA"
"cds-WP_003112577.1","NA"
"gene-Y880_RS01570","NA"
"cds-WP_003109947.1","NA"
"gene-Y880_RS01575","NA"
"cds-WP_003102387.1","NA"
"gene-Y880_RS01580","NA"
"cds-WP_003102385.1","NA"
"gene-Y880_RS01585","NA"
"cds-WP_003102379.1","NA"
"gene-Y880_RS01590","NA"
"cds-WP_016253756.1","NA"
"gene-Y880_RS01595","NA"
"cds-WP_003086091.1","NA"
"gene-Y880_RS01600","NA"
"cds-WP_003107743.1","NA"
"gene-Y880_RS01605","NA"
"cds-WP_079276206.1","NA"
"gene-Y880_RS01610","NA"
"cds-WP_003086099.1","NA"
"gene-Y880_RS01615","NA"
"cds-WP_003106665.1","NA"
"gene-Y880_RS01620","NA"
"cds-WP_003086103.1","NA"
"gene-Y880_RS01625","NA"
"cds-WP_003123218.1","NA"
"gene-Y880_RS01630","NA"
"cds-WP_003086107.1","NA"
"gene-Y880_RS01635","NA"
"cds-WP_003112575.1","NA"
"gene-Y880_RS01640","NA"
"cds-WP_003086122.1","NA"
"gene-Y880_RS01645","NA"
"cds-WP_003086123.1","NA"
"gene-Y880_RS01650","ybgC"
"cds-WP_003086124.1","ybgC"
"gene-Y880_RS01655","tolQ"
"cds-WP_003086125.1","tolQ"
"gene-Y880_RS01660","tolR"
"cds-WP_003086126.1","tolR"
"gene-Y880_RS01665","tolA"
"cds-WP_003117096.1","tolA"
"gene-Y880_RS01670","tolB"
"cds-WP_003086128.1","tolB"
"gene-Y880_RS01675","pal"
"cds-WP_003111417.1","pal"
"gene-Y880_RS01680","ygbF"
"cds-WP_003140772.1","ygbF"
"gene-Y880_RS01685","NA"
"cds-WP_004348344.1","NA"
"gene-Y880_RS01690","queC"
"cds-WP_003117095.1","queC"
"gene-Y880_RS01695","NA"
"rna-Y880_RS01695","NA"
"exon-Y880_RS01695-1","NA"
"gene-Y880_RS01700","NA"
"cds-WP_016253754.1","NA"
"gene-Y880_RS01705","NA"
"cds-WP_077563447.1","NA"
"gene-Y880_RS01710","NA"
"cds-WP_095866972.1","NA"
"cds-WP_095866972.1","NA"
"gene-Y880_RS01715","NA"
"cds-WP_003112559.1","NA"
"gene-Y880_RS01720","NA"
"cds-WP_003120655.1","NA"
"gene-Y880_RS01725","NA"
"cds-WP_003120654.1","NA"
"gene-Y880_RS01730","NA"
"cds-WP_003117019.1","NA"
"gene-Y880_RS01735","NA"
"cds-WP_004348355.1","NA"
"gene-Y880_RS01740","NA"
"cds-WP_003123215.1","NA"
"gene-Y880_RS01745","NA"
"cds-WP_003123214.1","NA"
"gene-Y880_RS01750","NA"
"cds-WP_003086236.1","NA"
"gene-Y880_RS01755","NA"
"cds-WP_003112552.1","NA"
"gene-Y880_RS01760","NA"
"cds-WP_003108611.1","NA"
"gene-Y880_RS01765","NA"
"cds-WP_003108612.1","NA"
"gene-Y880_RS01770","NA"
"cds-WP_003117014.1","NA"
"gene-Y880_RS01775","NA"
"cds-WP_003086247.1","NA"
"gene-Y880_RS01780","NA"
"cds-WP_003123211.1","NA"
"gene-Y880_RS01785","NA"
"cds-Y880_RS01785","NA"
"gene-Y880_RS01790","NA"
"cds-WP_016253750.1","NA"
"gene-Y880_RS01795","NA"
"cds-WP_003112547.1","NA"
"gene-Y880_RS01800","NA"
"cds-WP_003112546.1","NA"
"gene-Y880_RS01805","NA"
"cds-WP_003086258.1","NA"
"gene-Y880_RS01810","NA"
"cds-WP_003108615.1","NA"
"gene-Y880_RS01815","NA"
"cds-WP_003086262.1","NA"
"gene-Y880_RS01820","NA"
"cds-WP_003086267.1","NA"
"gene-Y880_RS01825","NA"
"cds-WP_003086270.1","NA"
"gene-Y880_RS01830","NA"
"cds-WP_003086271.1","NA"
"gene-Y880_RS01835","NA"
"cds-WP_003120645.1","NA"
"gene-Y880_RS01840","NA"
"cds-WP_003108622.1","NA"
"gene-Y880_RS01845","NA"
"rna-Y880_RS01845","NA"
"exon-Y880_RS01845-1","NA"
"gene-Y880_RS01850","NA"
"cds-WP_012614415.1","NA"
"gene-Y880_RS01855","NA"
"cds-WP_016253749.1","NA"
"gene-Y880_RS01860","NA"
"cds-WP_003086280.1","NA"
"gene-Y880_RS01865","NA"
"cds-WP_003112542.1","NA"
"gene-Y880_RS01870","NA"
"cds-WP_003145556.1","NA"
"gene-Y880_RS01875","NA"
"cds-WP_003120641.1","NA"
"gene-Y880_RS01880","NA"
"cds-Y880_RS01880","NA"
"gene-Y880_RS01885","NA"
"cds-WP_003158192.1","NA"
"gene-Y880_RS01890","NA"
"cds-WP_003120639.1","NA"
"gene-Y880_RS01895","NA"
"cds-WP_003086299.1","NA"
"gene-Y880_RS01900","NA"
"cds-WP_003123195.1","NA"
"gene-Y880_RS01905","NA"
"cds-WP_003123194.1","NA"
"gene-Y880_RS01910","NA"
"cds-WP_004353331.1","NA"
"gene-Y880_RS01915","NA"
"cds-WP_003123192.1","NA"
"gene-Y880_RS01920","NA"
"cds-WP_003112532.1","NA"
"gene-Y880_RS01925","NA"
"cds-WP_003112531.1","NA"
"gene-Y880_RS01930","NA"
"cds-WP_003123191.1","NA"
"gene-Y880_RS01935","NA"
"cds-WP_003163134.1","NA"
"gene-Y880_RS01940","NA"
"cds-WP_003086329.1","NA"
"gene-Y880_RS01945","NA"
"cds-WP_003112528.1","NA"
"gene-Y880_RS01950","NA"
"cds-WP_003081943.1","NA"
"gene-Y880_RS01955","NA"
"cds-WP_016253747.1","NA"
"gene-Y880_RS01960","NA"
"cds-WP_003112525.1","NA"
"gene-Y880_RS01965","NA"
"cds-WP_003081984.1","NA"
"gene-Y880_RS01970","NA"
"cds-WP_003081986.1","NA"
"gene-Y880_RS01975","NA"
"cds-WP_003081987.1","NA"
"gene-Y880_RS01980","NA"
"cds-WP_003081997.1","NA"
"gene-Y880_RS01985","NA"
"cds-WP_003082000.1","NA"
"gene-Y880_RS01990","NA"
"cds-WP_003082003.1","NA"
"gene-Y880_RS01995","NA"
"cds-WP_003086343.1","NA"
"gene-Y880_RS02000","NA"
"cds-WP_003082015.1","NA"
"gene-Y880_RS02005","NA"
"cds-WP_003082018.1","NA"
"gene-Y880_RS02010","NA"
"cds-WP_003082021.1","NA"
"gene-Y880_RS02015","NA"
