PeakID,Mass,RT,FORMULA,Putative metabolite,confidence,Map,Pathway,PAK-1-0,PAK-2-0,PAK-3-0,PAK-4-0,PAK-5-0,PAK-1-1-C,PAK-2-1-C,PAK-3-1-C,PAK-4-1-C,PAK-5-1-C,PAK-1-1-P,PAK-2-1-P,PAK-3-1-P,PAK-4-1-P,PAK-5-1-P,PAK-1-4-C,PAK-2-4-C,PAK-3-4-C,PAK-4-4-C,PAK-5-4-C,PAK-1-4-P,PAK-2-4-P,PAK-3-4-P,PAK-4-4-P,PAK-5-4-P,PAK-1-24-C,PAK-2-24-C,PAK-3-24-C,PAK-4-24-C,PAK-5-24-C,PAK-1-24-P,PAK-2-24-P,PAK-3-24-P,PAK-4-24-P,PAK-5-24-P,P6-1-0,P6-2-0,P6-3-0,P6-4-0,P6-5-0,P6-1-1-C,P6-2-1-C,P6-3-1-C,P6-4-1-C,P6-5-1-C,P6-1-1-P,P6-2-1-P,P6-3-1-P,P6-4-1-P,P6-5-1-P,P6-1-4-C,P6-2-4-C,P6-3-4-C,P6-4-4-C,P6-5-4-C,P6-1-4-P,P6-2-4-P,P6-3-4-P,P6-4-4-P,P6-5-4-P,P6-1-24-C,P6-2-24-C,P6-3-24-C,P6-4-24-C,P6-5-24-C,P6-1-24-P,P6-2-24-P,P6-3-24-P,P6-4-24-P,P6-5-24-P,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
n2067,141.019189,0.918552432,C2H8NO4P,Ethanolamine phosphate,6,Amino Acid Metabolism,"Glycine, serine and threonine metabolism__Glycerophospholipid metabolism__Sphingolipid metabolism",161354.1999,148350.3054,236737.4258,208554.0991,199613.3254,173223.6333,144859.5653,123969.3194,208799.7794,180379.6931,178423.2363,131681.8013,52511.96678,185667.5833,143130.6699,101062.0367,12421.88437,47127.57574,52081.67056,46303.05294,241891.0528,254356.336,306523.1677,600099.9722,397596.8386,0,0,0,0,0,0,5761.949221,0,31745.31697,0,103483.4145,113364.4739,135677.9023,97467.20102,111723.687,96653.23014,41469.04743,70664.73709,108014.9106,103033.8683,89062.53916,38003.40636,21211.30323,92069.27922,74774.06485,61980.40788,22180.40046,77742.5157,53990.59769,90755.56309,82611.7562,34097.04147,77947.89904,90911.29188,71293.33299,3616.428631,0,0,0,0,0,0,0,0,0,50957.12857,49897.31035,65647.65104,41584.53775,48041.7004,43208.15224,45862.87325,56973.34991
p1293,145.0850049,0.768253075,C5H11N3O2,4-Guanidinobutanoate,6,Amino Acid Metabolism,Arginine and proline metabolism,69759.09274,47837.54583,47945.49141,60041.213,66004.09319,45435.41202,37472.22411,39352.40187,37748.12931,54106.3108,74935.13633,53642.39889,32654.52212,25446.60006,69643.73076,37057.35224,33336.05593,100428.7509,200671.1617,100051.8762,40423.09234,40783.35911,52139.46007,23336.335,86883.01199,39121.45105,25376.58295,28253.81657,95303.26846,287749.576,50107.43563,32562.5351,101104.2919,101172.0595,111681.09,47900.67,43631.80176,39499.88293,65919.505,58457.67858,63945.72762,35619.49616,41590.17596,53072.42514,48539.3075,52101.10254,81612.75542,33879.93716,49169.60469,76134.72453,37569.96492,43540.13361,38352.50574,15121.40697,47121.57887,54369.02318,34187.29163,44981.32165,33144.44087,66720.02151,59256.3083,29762.19982,108823.9486,22547.43688,133570.8583,42044.86365,39459.56327,127295.6025,54718.4949,119913.6744,45726.72073,25076.99683,62797.72455,29659.53179,47034.69549,29408.44245,37606.4404,50967.40269
p88,146.0578007,1.535844743,C6H10O4,(S)-2-Aceto-2-hydroxybutanoate,6,Amino Acid Metabolism,"Valine, leucine and isoleucine biosynthesis",24747.94211,21549.93828,18664.2107,21495.69854,18274.78876,13939.07024,20265.12285,16595.32943,15254.54316,14803.02188,37553.71013,29385.18798,13242.77336,18784.1141,20879.4999,22593.21314,20323.63525,21135.57807,20308.63574,23514.98548,16510.59808,22276.5551,17320.36755,21385.68174,19803.5071,13307.06207,14255.12391,20201.64085,16299.40464,27597.47469,15810.97734,28224.1147,14756.35752,20964.11049,17478.82557,22032.64586,13494.12515,15506.06568,18431.2744,14434.62123,31798.72934,13834.29146,15729.15033,22168.56245,44938.73278,27948.04139,14012.46666,14429.87088,13879.08317,22099.30333,15611.45803,11161.61296,17469.60569,12787.52896,18528.63012,18029.49746,14476.58205,20730.72106,45652.87764,11625.39967,20840.37205,12069.29453,18443.0143,16587.90637,21836.33345,15593.43854,25261.4794,21891.73686,18195.57804,12369.23282,91563.21338,107695.9654,105068.2571,139730.9994,108659.9173,105385.4258,103762.5095,100237.2411
p2076,156.0536215,0.846022609,C6H8N2O3,4-Imidazolone-5-propanoate,6,Amino Acid Metabolism,Histidine metabolism,15905.64851,25041.66688,11222.68188,24624.92899,31251.52456,33193.15175,33862.26932,30570.42216,18914.33213,41841.70818,142014.1274,32306.95528,36167.24236,80147.42174,62151.74516,62424.72921,41833.76586,70296.97449,28592.84341,101322.7945,81444.52377,52133.70413,145221.8277,75028.45721,72389.46676,170847.2493,134366.5471,55339.51299,61401.38611,82862.22029,484866.1518,146257.2324,131950.2901,64796.62979,148803.2796,23610.40633,7329.232853,12177.26764,15533.566,31515.7897,34256.33302,21740.10456,11987.32884,11062.44113,16363.24236,65419.60734,20096.70857,34594.07825,21611.65436,75653.18355,80685.04803,60090.92753,25499.98047,19252.70699,88270.00475,140318.2162,102396.8592,69545.23237,66483.61628,111720.3963,22270.32098,60817.63571,66902.99828,20895.19849,56015.97238,78459.31805,87865.19166,220635.5374,63687.65536,42646.82775,57431.88808,51820.1574,59408.51351,44290.90115,77059.7482,44158.4879,53434.51333,56467.25305
p1174,161.1050677,0.724903932,C7H15NO3,L-Carnitine,6,Amino Acid Metabolism,Lysine degradation,84775.78856,211741.1181,242404.4067,84908.14185,63262.04557,113013.6798,63837.03055,86649.34905,82513.69848,121009.3392,155344.0013,124164.804,147922.3965,77861.22536,90265.6002,70194.12475,80860.70943,106854.6159,371115.9645,156962.1438,107874.8967,264137.3249,242007.1235,81440.62471,81156.18571,1193265.501,648882.8395,1188402.492,3528505.208,16681967.55,854353.397,551985.0559,419040.777,3688368.533,3637579.451,80762.58904,73326.96888,73342.35747,336279.8235,112713.6676,150189.3122,117437.5739,91444.4673,218643.5239,85590.93068,212400.2662,68898.92246,95832.64995,125714.8988,283558.3994,137360.3718,207258.2875,115328.9086,45345.95333,178123.8565,337897.7686,214676.6669,201118.1949,165320.4442,305936.7349,3575516.933,1273270.339,858266.1119,3884802.477,27662473.98,829609.6358,493093.6826,610097.5053,3982078.545,13045219.65,363015.1024,322490.0013,315209.9719,292188.9501,382591.6152,345477.5419,291463.4206,329860.1612
p2065,165.0791211,0.874042329,C9H11NO2,L-Phenylalanine,6,Amino Acid Metabolism,"Phenylalanine metabolism__Phenylalanine, tyrosine and tryptophan biosynthesis__Phenylpropanoid biosynthesis__Alkaloid biosynthesis II",379516.1847,676438.9652,758166.3776,757367.9291,644037.187,628846.0812,430672.4039,448460.7516,474453.1611,605385.6949,658050.8705,717611.2505,349680.4876,842953.1315,788552.5496,609244.0449,622827.4381,904826.6847,1209840.267,957378.653,737037.9246,754512.5086,664410.5023,480136.0138,955272.4829,1014214.37,536615.3474,669200.5643,855526.9481,941295.785,1090456.394,789811.9944,829332.1689,913182.5754,583878.7756,720694.8109,635635.787,536947.8271,630988.5174,771925.8447,557219.1137,665172.5854,676779.3653,526892.0362,618282.3152,609853.0351,696676.656,583043.3637,965893.2884,953295.4071,802557.71,724566.0769,847143.5813,550732.4058,1032954.53,905054.0577,762249.5028,795466.6176,919115.5494,1074588.234,1416302.059,641599.3301,1134338.751,941935.9743,604410.6565,1031345.639,635050.156,1377191.455,841041.9963,564904.1064,491724.6655,560711.6823,614708.4807,588784.2995,580872.5932,635068.5452,577379.9029,582905.0366
p1199,174.111587,0.795513761,C6H14N4O2,L-Arginine,6,Amino Acid Metabolism,Arginine and proline metabolism__Clavulanic acid biosynthesis__D-Arginine and D-ornithine metabolism,381600.3096,485912.8001,1852967.117,1047979.18,589082.6332,585043.1755,249828.8051,382946.5243,303754.422,845207.2317,1364685.068,1093970.653,623379.423,1549028.465,1035187.529,431104.6712,293963.9515,454328.0508,1297385.202,872525.2877,995014.7677,821333.336,458612.8774,537064.4053,1343532.345,556948.9731,420662.0203,466759.3674,536469.073,843631.534,606113.8923,522127.9526,766183.1851,694284.8308,631956.6604,1529978.88,1427915.714,875999.8949,1421265.1,1329973.265,409875.1163,990898.4382,1702543.927,625807.0372,928912.1239,818506.2403,1445296.296,907502.2921,3192771.432,1182813.191,779212.4036,779709.0384,679526.9776,520473.7643,740541.5121,720433.0796,628171.877,755204.203,1282093.813,758167.2602,1080808.69,554806.2258,1172069.81,1693291.705,648814.1787,1947868.112,539894.7194,2458138.92,1158636.212,606247.4106,752317.0936,776234.1161,681237.7203,635901.392,768256.0534,606052.6407,597254.7321,688595.1047
p2087,204.0900956,0.890542224,C11H12N2O2,L-Tryptophan,6,Amino Acid Metabolism,"Tryptophan metabolism__Phenylalanine, tyrosine and tryptophan biosynthesis__Indole and ipecac alkaloid biosynthesis",65789.54005,67533.61567,90157.99985,101839.6124,91068.94963,85496.93269,51429.71495,64926.22825,80870.93385,101404.1884,95106.62468,78561.97171,47678.62105,84906.97192,87748.91901,124138.9517,129237.5767,141165.2167,222463.6039,142652.8381,98933.82528,260064.1054,95045.44386,82259.32463,113532.0959,116836.7597,105427.0201,126814.6799,101995.5329,142498.0653,119232.7078,128422.4373,115788.4773,152218.3533,100319.1286,93363.0163,86884.26941,108643.0697,102108.9592,96276.37933,86070.12806,89190.06433,80446.98442,123669.3506,79523.02991,95206.33095,95638.37798,78564.87875,212728.588,124583.0873,116472.6444,115230.4552,159818.0703,108301.8799,153063.1426,141009.0999,111427.3892,122799.7298,138729.5504,176472.9931,168702.2233,115132.9873,135051.5513,141199.1664,122713.6755,126479.7988,131525.905,169022.5335,160505.2432,129564.6123,71697.28132,81307.10662,74072.4338,87827.57974,95061.33837,94465.84261,90853.848,95371.72779
p2059,218.1268397,0.842532733,C9H18N2O4,N2-(D-1-Carboxyethyl)-L-lysine,6,Amino Acid Metabolism,Lysine degradation,55072.25875,64601.52509,159450.6296,102899.5342,77365.16929,98991.69737,60955.62698,36992.50742,71322.46035,102489.6179,48520.1641,36185.91382,28111.89961,96519.13159,60735.71248,61358.94531,41858.64537,99318.40647,41222.82259,106715.2011,52390.18961,93067.73864,52487.78427,36094.33237,156225.3005,399011.1449,64582.9931,386498.96,432705.7895,2573984.476,226876.5638,73008.85313,107125.2863,451542.0078,921288.4011,79830.85731,71250.06777,46288.55104,71373.53564,111058.8486,70328.95946,98073.08438,71288.41943,30436.2192,115794.2199,92847.04691,111963.8816,48254.19678,171014.1408,148187.8301,67249.42109,54564.62927,87028.33629,56397.24857,114653.0296,147014.9929,124508.9788,81219.17809,70227.0799,131291.5795,403322.6301,155870.4971,174539.0348,364225.0557,3930614.609,166606.7086,101867.1802,111383.7487,271305.9786,1881673.108,61643.68545,52666.31724,63698.60828,63813.45055,69013.6025,55514.04954,55746.70619,61155.149
n1306,307.0837572,0.919767845,C10H17N3O6S,Glutathione,6,Amino Acid Metabolism,Glutamate metabolism__Cysteine metabolism__Glutathione metabolism,91867.97554,71548.69153,44785.72212,105831.2946,64493.30398,286879.1681,49068.67365,34983.12197,32080.27586,39454.99245,37861.7573,0,0,0,11881.1257,37609.97269,10190.03355,45642.9024,645042.5734,0,0,14944.26364,184727.0237,25479.20527,0,81176.49012,25657.5737,105622.5124,176386.3273,249906.4382,36058.4469,28568.1746,78761.27911,156500.9226,220464.6273,29398.79724,10386.84218,0,0,55186.63547,56335.33516,33465.78445,0,0,0,152601.5674,61473.58512,30863.58926,277984.4976,111166.1269,45413.22581,52512.86071,13863.3236,9241.389183,12629.56142,100197.4991,46938.59989,67267.97505,15620.65964,0,61415.82913,36816.77607,65488.26983,94850.28048,309919.584,95449.30744,52379.85898,0,107057.0427,188901.2229,41435.3406,40517.50388,38236.41438,29318.05363,14924.71831,35118.78557,9735.61595,12556.57963
p2060,398.1379522,0.855680076,C15H22N6O5S,S-Adenosyl-L-methionine,6,Amino Acid Metabolism,Arginine and proline metabolism__Methionine metabolism__Zeatin biosynthesis,192539.07,106733.894,197484.3407,260159.5501,288688.3193,455594.4924,116811.7538,161104.0015,165233.6856,260792.8561,39594.55263,25480.91608,7197.595795,16315.32811,16579.99495,91494.14457,72580.50156,151416.3819,550472.3173,72686.9632,88052.45734,51910.55264,137937.0322,35398.45109,84484.62077,400427.8481,155550.42,62028.56985,482994.1884,2508277.899,368842.4212,149138.3964,20349.52417,585333.8022,422995.7208,8663.102321,0,0,0,0,0,0,0,0,0,0,0,0,84391.77164,5468.007839,11996.19232,32281.2444,10578.40959,5331.619582,23403.32903,16434.065,6246.554118,10980.26513,13242.72137,9095.090014,155234.1181,39084.52892,238882.8026,118951.028,434638.8792,68392.64152,38731.58586,159115.7255,77017.96525,254589.005,26403.93423,34891.30552,41861.05959,45037.16582,43285.96008,35304.48933,45143.8965,43469.38585
n673,546.3404295,3.854874122,C28H50O10,3-O-Mycarosylerythronolide B,5,Biosynthesis of Polyketides and Nonribosomal Peptides,"Biosynthesis of 12-, 14- and 16-membered macrolides",0,0,0,0,0,0,0,0,0,0,0,2490.334601,0,0,0,0,0,0,0,0,0,0,0,0,0,269990.399,683336.02,29252.40719,135306.0094,624059.0588,650258.8367,1072894.286,33727.21417,210525.6414,1130155.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98213.03865,91476.91902,477497.554,16425.99812,73746.73846,85456.60394,63421.81708,376805.4061,8452.427996,106505.8257,140302.503,136617.9425,131202.4173,149683.3765,121019.092,121226.1589,131144.5658,123365.0307
p3097,568.3032477,4.074402373,C33H44O8,5-Oxoavermectin ''1b'' aglycone,5,Biosynthesis of Polyketides and Nonribosomal Peptides,"Biosynthesis of 12-, 14- and 16-membered macrolides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244534.8334,267938.9404,32079.18423,122463.4146,491772.7741,698715.8211,443825.913,36921.64611,224970.0032,1255121.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172476.4227,51020.14722,158408.696,18554.48921,115216.4825,54843.79123,37536.78625,399034.7762,14938.54199,155306.4547,23058.60776,30329.91923,35428.03137,38519.4941,37643.32575,39249.21161,36000.78909,35452.90033
p2717,570.3189257,4.32938692,C33H46O8,Avermectin B1b aglycone,5,Biosynthesis of Polyketides and Nonribosomal Peptides,"Biosynthesis of 12-, 14- and 16-membered macrolides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456824.5658,396650.0836,99478.97631,266359.4631,599773.7441,884321.9529,494096.6641,99548.47502,406415.0392,1198883.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458165.258,188648.7599,234500.8383,64493.25475,313455.4207,184935.9683,139811.8668,800935.3714,55156.34001,419611.9509,43243.06172,62240.33697,65098.57651,73118.30645,76133.69714,64883.26,69735.47809,63169.98442
